Serial Number: SS4024
Firmware: 2.3
Start Date/Time: 3/29/2015 12:0:1
TrayID: 1
Tube: 7 of 7
SN,DATE,TIME,FLOW_RAW,FLOW_LPM,TEMP_RAW,TEMP_C,PRESSURE_RAW,PRESSURE_KPA,ADC1_RAW,ADC1_UNIT,ADC2_RAW,ADC2_UNIT,ADC3_RAW,ADC3_UNIT,ADC4_RAW,ADC4_UNIT,STATUS
SS4024,3/29/2015,12:0:9,1538.131,3.698,1347.672,35.425,2565.920,-12.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:0:24,1554.317,3.763,1347.655,35.424,2584.289,-11.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:0:39,1554.154,3.762,1347.797,35.434,2584.084,-11.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:0:54,1554.077,3.762,1347.697,35.427,2584.183,-11.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:1:9,1553.846,3.761,1347.853,35.438,2584.385,-11.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:1:24,1554.063,3.762,1347.901,35.442,2584.394,-11.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:1:39,1553.908,3.761,1348.007,35.449,2584.275,-11.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:1:54,1553.866,3.761,1347.972,35.447,2584.345,-11.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:2:9,1554.140,3.762,1347.986,35.448,2584.406,-11.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:2:24,1553.803,3.761,1347.986,35.448,2584.345,-11.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:2:39,1554.183,3.762,1348.077,35.454,2584.246,-11.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:2:54,1554.210,3.762,1348.126,35.458,2584.189,-11.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:3:9,1554.042,3.762,1348.000,35.449,2584.127,-11.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:3:24,1554.120,3.762,1348.028,35.451,2584.028,-11.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:3:39,1553.873,3.761,1348.127,35.458,2584.042,-11.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:3:55,1553.776,3.761,1348.168,35.461,2584.000,-11.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:4:10,1553.732,3.760,1348.155,35.460,2584.063,-11.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:4:25,1553.965,3.761,1348.303,35.471,2583.817,-11.385,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:4:40,1553.592,3.760,1348.261,35.468,2583.782,-11.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:4:55,1553.359,3.759,1348.317,35.472,2583.704,-11.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:5:10,1553.711,3.760,1348.303,35.471,2583.676,-11.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:5:25,1553.704,3.760,1348.338,35.473,2583.746,-11.388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:5:40,1553.350,3.759,1348.350,35.474,2583.769,-11.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:5:55,1553.028,3.758,1348.441,35.480,2583.650,-11.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:6:10,1553.343,3.759,1348.601,35.492,2583.587,-11.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:6:25,1553.203,3.758,1348.643,35.495,2583.552,-11.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:6:40,1553.245,3.758,1348.762,35.504,2583.364,-11.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:6:55,1553.183,3.758,1348.838,35.509,2583.465,-11.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:7:10,1553.408,3.759,1348.824,35.508,2583.423,-11.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:7:25,1553.113,3.758,1349.028,35.523,2583.507,-11.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:7:40,1553.000,3.758,1349.106,35.528,2583.514,-11.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:7:48,1553.000,3.758,1349.254,35.539,2583.567,-11.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:8:3,1552.965,3.757,1349.154,35.532,2583.469,-11.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:8:18,1553.343,3.759,1349.252,35.539,2583.650,-11.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:8:33,1553.049,3.758,1349.458,35.553,2583.676,-11.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:8:48,1553.542,3.760,1349.514,35.557,2583.556,-11.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:9:3,1553.014,3.758,1349.585,35.562,2583.507,-11.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:9:18,1552.671,3.756,1349.608,35.564,2583.490,-11.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:9:33,1552.627,3.756,1349.690,35.570,2583.317,-11.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:9:48,1552.601,3.756,1349.734,35.573,2583.350,-11.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:10:3,1552.866,3.757,1349.880,35.584,2583.423,-11.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:10:18,1552.713,3.756,1349.916,35.586,2583.245,-11.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:10:33,1552.866,3.757,1350.106,35.600,2583.268,-11.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:10:48,1552.556,3.756,1350.141,35.602,2583.401,-11.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:11:3,1552.655,3.756,1350.338,35.616,2583.387,-11.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:11:18,1552.538,3.756,1350.385,35.620,2583.364,-11.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:11:34,1552.490,3.755,1350.510,35.629,2583.266,-11.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:11:48,1552.134,3.754,1350.697,35.642,2583.275,-11.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:12:4,1552.169,3.754,1350.732,35.645,2583.289,-11.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:12:19,1552.331,3.755,1350.866,35.654,2583.246,-11.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:12:34,1552.390,3.755,1350.929,35.659,2583.291,-11.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,3/29/2015,12:12:49,1552.232,3.754,1350.993,35.663,2583.204,-11.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
