Serial Number: SS4024
Firmware: 2.3
Start Date/Time: 2/13/2015 12:0:1
TrayID: 1
Tube: 2 of 7
SN,DATE,TIME,FLOW_RAW,FLOW_LPM,TEMP_RAW,TEMP_C,PRESSURE_RAW,PRESSURE_KPA,ADC1_RAW,ADC1_UNIT,ADC2_RAW,ADC2_UNIT,ADC3_RAW,ADC3_UNIT,ADC4_RAW,ADC4_UNIT,STATUS
SS4024,2/13/2015,12:0:8,1522.554,3.635,1178.871,23.334,2455.748,-16.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:0:11,1581.885,3.874,1178.654,23.318,2561.000,-12.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:0:26,1581.943,3.874,1178.738,23.324,2561.014,-12.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:0:41,1582.077,3.875,1178.648,23.318,2561.218,-12.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:0:56,1581.901,3.874,1178.570,23.312,2561.049,-12.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:1:11,1582.317,3.876,1178.599,23.314,2561.106,-12.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:1:26,1581.895,3.874,1178.455,23.304,2561.098,-12.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:1:41,1582.175,3.875,1178.364,23.298,2561.056,-12.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:1:56,1581.979,3.874,1178.317,23.294,2561.028,-12.345,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:2:11,1582.218,3.875,1178.239,23.289,2561.085,-12.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:2:26,1582.634,3.877,1178.254,23.290,2561.134,-12.341,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:2:41,1582.098,3.875,1178.105,23.279,2561.091,-12.342,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
SS4024,2/13/2015,12:2:56,1582.310,3.876,1177.951,23.268,2561.063,-12.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:ACTIVEDUTY
