Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,25/45/165 45:158:6,7693935,26705063,6095137,10622895,10488139,17540533,3760770,53235782,3262132,18804910,4800221,36530665,32.40,98.92,44.3,2343566,2501519,2485951,14.446118898991,12.322896774707,11.943422008610,65.706013654953,68.682245955380,68.667987454676,0
IN1024,25/45/165 45:158:33,7480143,26233538,6062270,10542728,10336289,17421365,3724153,52281145,3250652,18646148,4764720,36282283,33.13,98.93,44.2,2347492,2505085,2489145,14.252280997046,12.192161400152,11.745328811258,63.838810977286,68.610485624826,67.445601795576,0
IN1024,25/45/165 45:159:1,7424547,26019556,6020752,10499217,10467196,17354244,3709204,51833403,3238677,18566338,4764330,36145737,33.87,98.92,44.2,2350098,2504434,2488795,14.183672837190,11.972768308633,11.845457960068,63.596349293060,67.827127635557,69.511235811807,0
IN1024,25/45/165 45:159:29,7455522,25879897,6064144,10472549,10302709,17306624,3644887,51546869,3189236,18513271,4623457,36052683,34.46,98.91,39.7,2351300,2507174,2490657,13.339163833507,10.878504079389,10.431300076369,63.673700915324,68.077367394133,66.481770165620,0
IN1024,25/45/165 45:159:56,6895531,25781612,5449913,10451761,8812306,17271523,3602256,51345865,3163169,18473326,4516956,35981347,34.94,98.91,23.3,2352462,2504749,2489025,12.772350588892,10.300542666232,9.353506507696,54.900666121780,52.960766195441,47.905563341287,0
IN1024,25/45/165 45:120:24,6734125,25709120,5332645,10436400,8684361,17245710,3582185,51201837,3169855,18447257,4518929,35930897,35.27,98.91,12.9,2353141,2505671,2490400,12.522268108817,10.479988094470,9.415488310379,52.400951932380,50.465908140863,46.587960456198,0
IN1024,25/45/165 45:120:52,6498033,25655710,5263448,10427062,8245619,17232726,3587410,51095776,3157784,18426416,4513409,35889519,35.53,98.91,7.7,2354138,2505574,2489697,12.627540123537,10.204005691283,9.383915831963,49.039318389208,48.590487372964,41.392465078641,0
IN1024,25/45/165 45:121:19,6483711,25619655,5182184,10418815,8126339,17217247,3572389,51007041,3157404,18411159,4504053,35855728,35.73,98.91,5.0,2358019,2507699,2491858,12.381432887770,10.128538392959,9.274086550496,48.620969770540,46.559873858197,39.904152961933,0
IN1024,25/45/165 45:121:47,6414746,25590334,5145516,10411421,8047768,17204631,3566505,50937866,3153677,18396930,4498659,35827414,35.87,98.91,3.2,2356153,2505732,2490139,12.348068757141,10.102714176764,9.260274868636,47.635563737304,45.745063801723,39.030079151484,0
IN1024,25/45/165 45:122:15,6400425,25566603,5143169,10407312,7979806,17198470,3563432,50878052,3160395,18387104,4488468,35804431,36.03,98.90,2.0,2359435,2504913,2489443,12.276700739531,10.197405658756,9.137817327335,47.357630797975,45.735495467141,38.087881263383,0
IN1024,25/45/165 45:122:42,6370064,25545214,5139632,10402229,7974596,17187766,3566066,50825124,3158418,18374969,4500830,35781388,36.13,98.88,1.0,2361281,2503855,2488715,12.309681273477,10.124726043799,9.272148750948,46.952475302674,45.570646015211,38.188413674598,0
IN1024,25/45/165 45:123:10,6364582,25534266,5120422,10396058,7958648,17177899,3559958,50790944,3156035,18368014,4486449,35764822,36.21,98.89,-0.0,2359322,2502867,2487501,12.260074103705,10.122179254026,9.150804389775,46.875681376417,45.196345996896,37.941563883070,0
IN1024,25/45/165 45:123:38,6362204,25514613,5128136,10392571,7956674,17170963,3563203,50747558,3150893,18358260,4494370,35748389,36.29,98.89,-0.7,2363035,2506713,2491443,12.271475213457,9.932013182002,9.212781373080,46.857023087875,45.166386237602,37.987613213590,0
IN1024,25/45/165 45:124:6,6351450,25499581,5124709,10388678,7934485,17163647,3557047,50710384,3154418,18352460,4487694,35732275,36.38,98.88,-1.5,2361379,2502233,2487339,12.217471147101,10.058211910332,9.171985431287,46.692531802429,45.247417982633,37.718795586640,0
IN1024,25/45/165 45:124:33,6348645,25487352,5123366,10386550,7923818,17159044,3558201,50680703,3154657,18345829,4499582,35720988,36.45,98.88,-1.9,2362822,2503672,2488848,12.225287767237,10.040583995656,9.294862330618,46.671994888982,45.193756988667,37.726193492862,0
IN1024,25/45/165 45:125:1,6354199,25480132,5124331,10384503,7920000,17155515,3613443,50654872,3157944,18338974,4487555,35708614,36.49,98.88,-2.3,2364401,2502216,2488131,13.042550805867,10.088958123551,9.158789337632,47.566358002505,45.233330614476,37.536827789990,0
IN1024,25/45/165 45:125:29,6335288,25470358,5123899,10379772,7900330,17147840,3562716,50631550,3154486,18334485,4484827,35698626,36.54,98.88,-2.7,2366548,2504461,2488993,12.256561729469,9.964501381681,9.115732666121,46.488600085948,45.106568914769,37.279232608977,0
IN1024,25/45/165 45:125:56,6347232,25462796,5115864,10379279,7918818,17148073,3564231,50609048,3152075,18329973,4482708,35690750,36.61,98.89,-3.1,2368924,2503849,2488628,12.252321090959,9.857708335706,9.074285815392,46.650751540890,44.747810810646,37.428711737532,0
IN1024,25/45/165 45:126:24,6338511,25453845,5113619,10376904,7912815,17144857,3561976,50587842,3161687,18326838,4486886,35679284,36.64,98.89,-3.4,2372160,2504592,2489182,12.177899119852,10.012283157463,9.093256698524,46.418057592050,44.796396459717,37.355554830872,0
IN1024,25/45/165 45:126:52,6318301,25444913,5113430,10375215,7900848,17141608,3560248,50567925,3161096,18323324,4485775,35670193,36.71,98.88,-3.7,2372980,2503183,2488358,12.147754241959,9.984593144086,9.082502245212,46.084792466736,44.748989983498,37.204195294549,0
IN1024,25/45/165 45:127:19,6328708,25435777,5107114,10374732,7899716,17138372,3562602,50547553,3155835,18318202,4487076,35662546,36.77,98.88,-3.9,2371385,2500775,2485910,12.214435515753,9.902431471015,9.118942982990,46.354927322067,44.537330411730,37.251693321990,0
IN1024,25/45/165 45:127:47,6342972,25427556,5112208,10370766,7898575,17138934,3568497,50530517,3163835,18316714,4490291,35655505,36.80,98.88,-4.1,2372635,2502128,2486618,12.291590512731,10.064745272407,9.147112164322,46.658869569840,44.838403568612,37.256511299048,0
IN1024,25/45/165 45:128:15,6341070,25419813,5120613,10367727,7878882,17133168,3561842,50511738,3157440,18311719,4483526,35647961,36.86,98.88,-4.5,2378276,2504441,2488820,12.114359937886,9.790803025970,9.022076648139,46.392511028578,44.677488005150,36.865840943385,0
IN1024,25/45/165 45:128:43,6332653,25409273,5112853,10367496,7882069,17130927,3567584,50493951,3163860,18306766,4481245,35638342,36.90,98.88,-4.7,2376470,2500952,2485701,12.234280210790,9.987662599073,9.023400927980,46.429688064176,44.703703178810,36.923420852594,0
IN1024,25/45/165 45:129:10,6323849,25403271,5118219,10365901,7882057,17130231,3560659,50480418,3165867,18306177,4479970,35633671,36.97,98.87,-4.9,2378568,2501370,2486491,12.104293014542,9.988965664984,8.994230947836,46.149302614265,44.802969461390,36.877352971111,0
IN1024,25/45/165 45:129:38,6332430,25396189,5116706,10363508,7878924,17127089,3556601,50460896,3163413,18300362,4479936,35624048,36.99,98.87,-5.0,2377241,2498542,2483853,12.069439892516,9.966390061865,9.013351873915,46.278979461964,44.772457666356,36.876670963179,0
IN1024,25/45/165 45:130:6,6323544,25387673,5114418,10363417,7894105,17124643,3565721,50444603,3166592,18299119,4484849,35620170,37.08,98.86,-5.1,2383132,2502814,2487607,12.126757413532,9.910567486710,9.012126589096,46.143073849865,44.557437699512,37.021350185127,0
IN1024,25/45/165 45:130:33,6325039,25380279,5117939,10363723,7875467,17121727,3565977,50427906,3171730,18296140,4492523,35613979,37.10,98.88,-5.1,2384955,2501975,2486863,12.108864043930,9.990962252775,9.078243298075,46.137409422920,44.669027238789,36.850686862120,0
IN1024,25/45/165 45:131:1,6324488,25373498,5121707,10360756,7894343,17117965,3567567,50412631,3170561,18293412,4483959,35604683,37.17,98.86,-5.2,2385227,2500483,2485656,12.135103308177,9.960990257763,8.992716689206,46.166077636097,44.738420090521,37.002798799244,0
IN1024,25/45/165 45:131:29,6324799,25363289,5111128,10359544,7885214,17116834,3573093,50394436,3170795,18292703,4490116,35601513,37.21,98.87,-5.3,2390035,2504066,2489304,12.154170562826,9.858401873857,9.012100764329,46.152361090473,44.303237748562,36.876355506139,0
IN1024,25/45/165 45:131:56,6321737,25355959,5123641,10359363,7888561,17113660,3571819,50376745,3174620,18286857,4493115,35592791,37.27,98.87,-5.3,2392923,2502365,2487799,12.097788161404,9.886678916132,9.020319439133,46.019418144490,44.553276015506,36.898832582851,0
IN1024,25/45/165 45:132:24,6325624,25346191,5111092,10355158,7877432,17109745,3573192,50358176,3186684,18282737,4485960,35582777,37.32,98.89,-5.4,2389308,2500625,2486080,12.179519216698,10.259045580128,8.987634481599,46.238643810178,44.729597809850,36.785500637084,0
IN1024,25/45/165 45:132:52,6319039,25344773,5122598,10354954,7892978,17108016,3572756,50353946,3175383,18282029,4487216,35582901,37.37,98.87,-5.5,2394099,2503334,2488181,12.103863208876,9.885182289549,8.955115722726,45.998908042969,44.545453610533,36.906459519615,0
IN1024,25/45/165 45:133:20,6331736,25338155,5122262,10356977,7873745,17104918,3572502,50337003,3179996,18279391,4498230,35576499,37.38,98.87,-5.6,2398569,2503020,2487806,12.038633281902,9.891478035763,9.030264878796,46.078063371146,44.415745049450,36.709870413769,0
IN1024,25/45/165 45:133:47,6322012,25326466,5127238,10352707,7869523,17104321,3580103,50318641,3180061,18277006,4492813,35570760,37.43,98.88,-5.6,2402448,2504008,2488584,12.102263998427,9.805447711190,8.934993091306,45.964791230767,44.400858901497,36.524840071099,0
IN1024,25/45/165 45:134:15,6318329,25320586,5130856,10352982,7879608,17102255,3574155,50305948,3187582,18274925,4493693,35565268,37.47,98.85,-5.7,2399668,2503928,2488588,12.060210491308,10.053415430082,8.982828308845,45.925402249125,44.803644570129,36.740898443564,0
IN1024,25/45/165 45:134:43,6321293,25313374,5120886,10349513,7859321,17096542,3574325,50291277,3185754,18272829,4494799,35559699,37.50,98.87,-5.7,2401619,2503496,2488391,12.038336452107,9.965939612867,8.976383338227,45.937037890367,44.451811353296,36.489876391300,0
IN1024,25/45/165 45:135:10,6313807,25307838,5124333,10347134,7888047,17094727,3574495,50278683,3188246,18269274,4496433,35553941,37.54,98.85,-5.8,2407335,2504316,2488567,11.959959413390,9.896217621072,8.940106798206,45.671750953209,44.355898868347,36.745892416383,0
IN1024,25/45/165 45:135:38,6315550,25301926,5126495,10346124,7867421,17094046,3581545,50270574,3191503,18269384,4507731,35552321,37.57,98.86,-5.8,2408448,2503076,2489222,12.053167036307,9.947285977709,9.051176854965,45.787070932502,44.430341440071,36.592666635788,0
IN1024,25/45/165 45:136:6,6324147,25300283,5125397,10345956,7865545,17094111,3586459,50262913,3190041,18265653,4498109,35548352,37.57,98.87,-5.9,2411272,2503416,2488193,12.087070683579,9.848719116227,8.917932584376,45.915573019189,44.240218418235,36.403109972204,0
IN1024,25/45/165 45:136:34,6326495,25295575,5115483,10344781,7866865,17090267,3585754,50255697,3188357,18264243,4503418,35543850,37.60,98.87,-5.9,2410485,2501562,2487384,12.091160144200,9.829176457521,8.987928053526,45.976379823111,43.994190829337,36.509123966683,0
IN1024,25/45/165 45:137:1,6320027,25292473,5125712,10342116,7864555,17089024,3590869,50246113,3191308,18263131,4504945,35541971,37.58,98.88,-5.9,2415604,2502218,2486886,12.093815519784,9.777319349364,8.947556826245,45.808505914758,44.092962953915,36.385357149973,0
IN1024,25/45/165 45:137:29,6331705,25290770,5121308,10341982,7877732,17089762,3590697,50241469,3196233,18261931,4503335,35536272,37.63,98.87,-5.8,2412977,2500245,2485789,12.133414235345,9.957826727603,8.965539257817,46.070473511229,44.216944271263,36.585121830215,0
IN1024,25/45/165 45:137:57,6325780,25286255,5126563,10342201,7874171,17087698,3586991,50233703,3190745,18260742,4789650,35535050,37.65,98.87,-5.2,2415916,2500578,2485933,12.035657929183,9.760702803860,12.024333078999,45.848165987567,44.077330063336,39.577043562454,0
IN1024,25/45/165 45:138:24,6410341,25278007,5481043,10337433,9294939,17081141,3869041,50241882,3557549,18256361,5861148,35536214,37.65,98.87,-4.7,2416515,2499343,2484713,16.303038672023,18.412516092881,23.575567189723,51.438321883816,61.360809120595,68.243101530751,0
IN1024,25/45/165 45:138:52,6482135,25248135,5458276,10331696,9076737,17075248,3836318,50197431,3539539,18247428,5848693,35525265,37.72,98.87,-4.0,2418340,2500897,2486278,15.800298152707,17.963288392767,23.438398162551,52.110284026766,60.384161389015,65.501856250600,0
IN1024,25/45/165 45:139:20,6497093,25217319,5422985,10323946,9051239,17065179,3853665,50152335,3560921,18242580,5969614,35520719,37.82,98.87,-3.5,2422598,2500959,2486195,16.020528008704,18.377918707106,24.706020690481,52.583966987281,59.911287386590,66.470108232304,0
IN1024,25/45/165 45:139:47,6561408,25193132,5485123,10320712,9228624,17058745,3886406,50124104,3594677,18236375,6062200,35516881,37.87,98.88,-3.4,2424117,2500681,2485273,16.508235456853,19.149807419861,25.693504996722,54.117857293098,62.188274789365,69.612317745748,0
IN1024,25/45/165 38:80:15,6585108,25178077,5500598,10317762,9252579,17053667,3882356,50098290,3586780,18232110,5991267,35508779,38.02,98.88,-3.4,2426610,2501490,2485846,16.422415062275,18.915507547173,24.916470673261,54.409468831436,62.309239276031,69.132741755097,0
IN1024,25/45/165 38:80:43,6580516,25160190,5491794,10316834,9226339,17049618,3879166,50062375,3585979,18225993,6040480,35496139,38.09,98.87,-3.3,2429272,2503292,2487344,16.351584054950,18.848651499267,25.439171099633,54.282630986485,61.990795695700,69.343248760930,0
IN1024,25/45/165 38:81:10,6609401,25148288,5549279,10313591,9491000,17046171,3952681,50032266,3676841,18219861,6286079,35486408,38.14,98.88,-3.2,2431332,2502582,2487653,17.455066231559,20.962660189025,28.083388942288,55.837448608466,65.481370346716,75.172242005411,0
IN1024,25/45/165 38:81:38,6632042,25138081,5555631,10312281,9386958,17045308,3883922,50002665,3589668,18215674,6009677,35474499,38.22,98.85,-3.1,2435309,2500520,2484541,16.360088124059,18.809404714300,25.069307992801,55.059029567124,63.381552940758,70.853131190550,0
IN1024,25/45/165 38:82:6,6582392,25127092,5502643,10309069,9250941,17040193,3875619,49973180,3582002,18210964,5978989,35465215,38.25,98.88,-3.0,2437092,2503360,2488472,16.221422157106,18.599999634348,24.732610113946,54.155851141203,61.893696363498,68.897781378418,0
IN1024,25/45/165 38:82:34,6590843,25127413,5513535,10309715,9269206,17040084,3878306,49961530,3575596,18207089,5956151,35458160,38.31,98.88,-3.4,2441568,2506507,2491482,16.201259149533,18.354737027118,24.450274230533,54.206324623493,61.829826678498,68.801764741412,0
IN1024,25/45/165 38:83:1,6647840,25116244,5667019,10308773,9750964,17038807,3885959,49929200,3579343,18201615,5929539,35442890,38.34,98.89,-4.2,2441174,2503333,2488377,16.337789004293,18.457138903923,24.180988303968,55.263815153055,65.667017576672,74.342973213888,0
IN1024,25/45/165 38:83:29,6675584,25107624,5539692,10306025,9260963,17037688,3854226,49903572,3567548,18196933,5890646,35433336,38.43,98.87,-5.0,2443297,2504970,2489680,15.834193952051,18.140134110471,23.754566057339,55.192464023643,62.235467223678,67.995952865175,0
IN1024,25/45/165 38:83:57,6652580,25100366,5558226,10306978,9306326,17033404,3861101,49859682,3568809,18187664,5890400,35422747,38.46,98.88,-4.5,2448964,2503679,2487969,15.871790574224,18.048267028414,23.700286096743,54.798569978404,62.435839147949,68.437738554365,0
IN1024,25/45/165 38:84:24,6607662,25091617,5501535,10302336,9173050,17029916,3867841,49840353,3569258,18183290,5904803,35415214,38.47,98.88,-4.2,2445754,2502393,2486668,16.032356133467,18.140430992712,23.898319400409,54.327713324309,61.254456977858,67.077472848359,0
IN1024,25/45/165 38:84:52,6583999,25083852,5535189,10300902,9336239,17027623,3859778,49820801,3571850,18180573,5892553,35407075,38.51,98.89,-4.0,2446927,2501864,2487094,15.900367268916,18.179922076416,23.763553629730,53.827734233764,62.096570944454,68.910737749968,0
IN1024,25/45/165 38:85:20,6601568,25076885,5512207,10301346,9181407,17026306,3857360,49800369,3563320,18175837,5887189,35400230,38.61,98.88,-3.9,2450109,2504942,2490592,15.826863265701,17.918570194901,23.687761363651,54.009913278884,61.224066752390,66.955692042534,0
IN1024,25/45/165 38:85:47,6579575,25068625,5476445,10298762,9144370,17023904,3862926,49779930,3571209,18172905,5891144,35390910,38.63,98.89,-4.1,2451326,2501912,2486983,15.901091442036,18.075679725433,23.723573876784,53.735257433446,60.473098649201,66.525405985353,0
IN1024,25/45/165 38:86:15,6605667,25059030,5512864,10297110,9195643,17021071,3859452,49760688,3571553,18168937,5892628,35383606,38.67,98.88,-4.7,2456829,2502413,2486331,15.772594358743,17.960029745292,23.689865782886,53.959271468907,61.134794711094,67.065795204823,0
IN1024,25/45/165 38:86:43,6616172,25052197,5521619,10296619,9173138,17019170,3859682,49736152,3568005,18161710,5873060,35375586,38.76,98.89,-5.2,2462601,2506299,2490445,15.701244352008,17.758952448889,23.431200918504,53.993749376149,61.049911620432,66.500046548941,0
