Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,25/45/165 45:158:6,8570217,26247893,6949055,10516086,12423180,17377563,4149651,52194267,3648354,18596074,5467230,36110415,30.41713775,101.0505512,16.3,2580246,2504040,2488390,17.12339358,16.12392848,16.95672576,79.46102748,88.43023159,94.90268558,0
IN1024,25/45/165 45:158:33,8259843,25748668,6849932,10437201,12432663,17261793,4113907,51201011,3639273,18437963,5500744,35868818,31.05961678,101.0505512,16.4,2580911,2506684,2490914,17.05641401,16.15933181,17.55792126,76.59354957,87.15057627,96.56708496,0
IN1024,25/45/165 45:159:1,8305537,25527278,6880591,10398110,12207469,17199159,4087100,50732699,3627915,18357554,5672095,35733631,31.71114482,101.0505512,16.6,2584574,2506348,2490805,16.82677239,15.94564159,19.50885403,77.84666402,88.10609677,96.30701464,0
IN1024,25/45/165 45:159:29,8100768,25385023,6823336,10369832,11572225,17152609,3847553,50436265,3406811,18303462,4721029,35640525,32.21788885,101.0402569,13.9,2588024,2507831,2491703,13.29952593,10.75304927,9.357222147,71.65746175,81.84676329,78.90084595,0
IN1024,25/45/165 45:159:56,7373666,25292024,5982635,10353185,9913219,17122724,3769062,50254088,3369560,18272243,4651592,35580016,32.58889787,101.0402569,5.8,2587610,2506574,2490110,12.1909596,9.928254983,8.669745746,59.61278373,60.82848974,58.52644968,0
IN1024,25/45/165 45:120:24,6740514,25226551,5495919,10338898,8514154,17098367,3748685,50107659,3356500,18245974,4648256,35530191,32.86941688,101.0299626,1.9,2588641,2508241,2492346,11.92431256,9.63508898,8.669851099,49.69277159,48.84267805,41.85594756,0
IN1024,25/45/165 45:120:52,6602944,25178177,5391445,10330031,8327304,17083398,3741742,50000391,3353681,18226146,4658023,35491846,33.04134789,101.0402569,-0.4,2592766,2508209,2492369,11.79686049,9.496707465,8.762383488,47.49336782,46.14202428,39.72793411,0
IN1024,25/45/165 45:121:19,6571569,25141921,5370037,10320975,8199542,17066709,3736134,49924621,3355479,18208137,4640898,35461009,33.1861319,101.0299626,-2.5,2590901,2506296,2490976,11.76892588,9.606186398,8.623995607,47.10091434,45.84098118,38.14901139,0
IN1024,25/45/165 45:121:47,6513724,25110871,5324607,10314678,8119948,17054552,3734671,49866371,3353000,18197573,4628189,35440358,33.32186691,101.0196684,-3.6,2592164,2505387,2490067,11.75010366,9.532081821,8.492535637,46.24165991,44.67793573,37.10101569,0
IN1024,25/45/165 45:122:15,6483419,25087365,5288625,10308896,8035001,17045729,3738467,49826441,3357451,18191876,4624450,35423281,33.41235692,101.0093741,-4.3,2594229,2507750,2491490,11.79307261,9.599329552,8.44662714,45.84894775,43.88804048,36.06067211,0
IN1024,25/45/165 45:122:42,6441559,25069037,5287468,10305427,8010499,17040759,3734456,49791509,3357370,18183935,4617214,35409987,33.46665092,101.0196684,-4.8,2595692,2508640,2492106,11.72282434,9.573489416,8.363416749,45.15166909,43.8359013,35.69213159,0
IN1024,25/45/165 45:123:10,6451546,25053110,5288175,10300380,7986603,17034143,3733596,49762439,3354668,18178450,4628729,35396227,33.54809192,101.0196684,-5.2,2594593,2505474,2489746,11.73705202,9.540483644,8.510364896,45.3746863,43.86435997,35.58193547,0
IN1024,25/45/165 45:123:38,6446169,25037354,5276360,10296537,7984392,17026512,3733881,49737510,3362808,18173460,4632791,35387105,33.58428793,101.0196684,-5.5,2597813,2507730,2492154,11.70256476,9.6667359,8.528847461,45.25400907,43.6752706,35.58075562,0
IN1024,25/45/165 45:124:6,6442000,25025261,5283242,10295392,7980770,17022875,3737730,49717368,3359258,18169603,4637051,35377112,33.68382693,101.0196684,-5.8,2602658,2508821,2492735,11.69576828,9.474154946,8.532790795,45.14180408,43.55307355,35.50673022,0
IN1024,25/45/165 45:124:33,6439908,25016483,5280800,10292038,7977434,17018818,3738859,49693845,3358933,18164134,4628512,35367615,33.70192493,101.0196684,-5.9,2602426,2509193,2493880,11.7262393,9.480499468,8.451619809,45.16803378,43.53768571,35.40965736,0
IN1024,25/45/165 45:125:1,6433676,25003161,5277246,10291436,7975064,17014120,3741900,49675054,3354054,18158906,4622146,35357630,33.74716993,101.0196684,-6.1,2602173,2506639,2491604,11.78323612,9.374523964,8.391581931,45.16017118,43.33509099,35.33474719,0
IN1024,25/45/165 45:125:29,6419359,24996688,5284232,10288700,7963435,17009789,3741767,49655536,3364625,18157014,4629731,35347899,33.81051294,101.0093741,-6.3,2604123,2505637,2490168,11.75906672,9.582305579,8.462535821,44.89589664,43.68304644,35.26059944,0
IN1024,25/45/165 45:125:56,6430529,24987286,5279076,10285025,7958521,17006379,3735048,49640737,3367187,18151263,4628885,35340894,33.82861094,101.0196684,-6.4,2602877,2504711,2489056,11.6798711,9.677902904,8.470239109,45.03455699,43.7057621,35.2344421,0
IN1024,25/45/165 45:126:24,6420242,24983757,5272270,10284953,7943045,17003927,3739993,49631312,3367002,18150181,4631224,35335645,33.83765994,101.0196684,-6.5,2606049,2505562,2490339,11.71114758,9.600943662,8.465826987,44.86580079,43.39234691,35.01934355,0
IN1024,25/45/165 45:126:52,6419977,24975133,5269410,10283575,7944442,17001144,3735024,49616429,3365343,18146574,4634405,35330701,33.84670894,101.0299626,-6.6,2606807,2506158,2490613,11.62846465,9.547475936,8.49478941,44.79142318,43.26636828,35.07026162,0
IN1024,25/45/165 45:127:20,6421384,24966104,5262969,10279719,7951301,16998486,3740961,49596723,3369137,18142580,4635829,35322864,33.89195394,101.0196684,-6.7,2607976,2505752,2490602,11.70983409,9.616101056,8.505706562,44.90035657,43.17900195,35.16301662,0
IN1024,25/45/165 45:127:47,6412328,24957678,5272750,10277114,7940926,16995743,3740511,49584680,3367259,18142117,4629227,35314514,33.91910094,100.9990798,-6.8,2609071,2503173,2488241,11.69053904,9.545005842,8.429517881,44.73765842,43.32284026,34.95207575,0
IN1024,25/45/165 45:128:15,6423936,24952482,5275486,10277023,7937410,16990668,3743908,49570230,3375060,18139325,4635103,35309750,33.93719895,100.9990798,-6.9,2609954,2504831,2489126,11.73526652,9.714624612,8.488907597,44.97007844,43.55331326,34.98955167,0
IN1024,25/45/165 45:128:43,6427344,24947789,5270132,10276312,7946954,16990846,3742792,49560213,3369100,18137834,4645086,35305897,33.94624795,101.0196684,-6.9,2616003,2506239,2490563,11.62864442,9.431036203,8.53308878,44.83760658,43.00679729,35.0794438,0
IN1024,25/45/165 45:129:10,6425935,24944922,5274693,10274472,7929312,16990329,3752970,49550682,3375093,18136146,4638150,35300013,33.98244395,100.9990798,-7,2615696,2504264,2488564,11.79357075,9.582065739,8.466302137,44.98824281,43.277487,34.79880312,0
IN1024,25/45/165 45:129:38,6431010,24940343,5265090,10272609,7946058,16987757,3746495,49539645,3372296,18131835,4634097,35294029,33.98244395,100.9990798,-7,2619391,2503788,2489297,11.64139767,9.433499529,8.386924964,44.86890494,42.81462001,34.88720085,0
