Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,12/31/14 14:46:8,4081782,27771876,3548776,10937285,5605297,17848651,2543165,55533048,2512420,19395146,3519895,36716653,21.38,99.78,15.8,2098410,2450163,2440069,0.292583858611,0.323768012311,0.763005187229,-1.640704493778,-3.017934972502,-3.120967481653,0
IN1024,12/31/14 14:46:36,4033002,27380398,3523253,10855661,5544945,17731469,2536648,54768749,2511223,19242676,3498784,36486091,22.13,99.77,8.5,2099590,2451280,2440724,0.282792696300,0.372637222306,0.654916333128,-1.963405038486,-3.273594925504,-3.633624044711,0
IN1024,12/31/14 14:47:4,4013980,27208771,3539294,10816374,5529618,17672668,2536548,54415916,2513421,19168231,3507328,36363441,22.86,99.76,4.0,2099573,2451140,2440978,0.331874119892,0.482425906336,0.836526473506,-2.002456372404,-2.562930226754,-3.448040841937,0
IN1024,12/31/14 14:47:32,4006827,27100386,3515751,10789286,5513404,17630990,2533407,54191947,2511891,19120388,3500599,36279319,23.46,99.76,1.7,2099385,2451199,2440561,0.322752631253,0.491522881959,0.826411674984,-1.981204304781,-3.023639073571,-3.518325810895,0
IN1024,12/31/14 14:47:59,3992001,27019138,3504698,10768033,5509148,17598262,2527914,54035805,2505543,19084805,3500077,36216238,23.89,99.74,0.5,2096677,2448522,2438479,0.306322684577,0.436844808586,0.898439219866,-2.095029310448,-3.202204363514,-3.360430652764,0
IN1024,12/31/14 14:48:27,3984142,26960211,3504255,10752830,5503309,17574663,2528413,53920195,2503338,19058253,3493864,36169167,24.23,99.75,-0.6,2099105,2451494,2441463,0.296296571957,0.353344439497,0.838592527376,-2.195341154314,-3.273105071869,-3.435948287301,0
IN1024,12/31/14 14:48:55,3982119,26917716,3505899,10744326,5501283,17560223,2526697,53836610,2509245,19040887,3500767,36135698,24.48,99.75,-1.6,2097056,2451382,2441465,0.313780568916,0.553440242996,0.963891418999,-2.119274759358,-2.934900969032,-3.259440376898,0
IN1024,12/31/14 14:49:22,3990634,26884091,3500780,10735633,5498054,17547585,2525186,53771879,2503591,19024373,3492417,36104919,24.65,99.75,-2.3,2094015,2448668,2438254,0.345352648234,0.504227216861,0.924563926359,-1.847836063345,-3.007819153279,-3.265337478899,0
IN1024,12/31/14 14:49:50,3981338,26856055,3500624,10728418,5488786,17537492,2531092,53717778,2505230,19014697,3492918,36083266,24.79,99.73,-3.1,2098333,2452942,2443875,0.377613259386,0.454522088481,0.901718964870,-2.003542802734,-3.119329589601,-3.413396651303,0
IN1024,12/31/14 14:50:18,3977817,26837958,3498071,10725582,5483724,17528574,2527169,53676499,2507928,19005371,3493763,36066165,24.92,99.73,-3.9,2101428,2454739,2445160,0.282243188854,0.454319954570,0.890552453578,-2.184395897672,-3.243244027781,-3.492687261076,0
IN1024,12/31/14 14:50:45,3978127,26823617,3499372,10721363,5486572,17523947,2528130,53645007,2507351,18999210,3499344,36051637,25.01,99.74,-4.1,2099363,2453563,2444408,0.330702207576,0.493586432108,0.985405875945,-2.077219040135,-3.101388964308,-3.322246991459,0
IN1024,12/31/14 14:51:13,3975503,26808655,3495091,10716365,5476728,17516577,2527303,53615585,2506766,18993171,3493267,36037101,25.08,99.71,-4.2,2099736,2453850,2444106,0.318190923051,0.477427866179,0.925049357216,-2.119522930985,-3.212688652293,-3.486161023196,0
IN1024,12/31/14 14:51:41,3976494,26800928,3492446,10711532,5477966,17513155,2522917,53592531,2501661,18984462,3492891,36028667,25.13,99.73,-4.6,2098462,2451208,2441841,0.275365405931,0.391656068162,0.937865595178,-2.116865729832,-3.324642228979,-3.439032493440,0
IN1024,12/31/14 14:52:8,3967910,26794667,3498055,10708905,5473909,17509179,2524737,53580124,2503945,18981309,3486258,36019020,25.16,99.71,-5.4,2097360,2451608,2441773,0.320638733874,0.474941644126,0.884879408205,-2.189796693419,-3.050401913270,-3.512694895199,0
IN1024,12/31/14 14:52:36,3964096,26788444,3498777,10706491,5475905,17503250,2521880,53561546,2505321,18978000,3492419,36014946,25.23,99.72,-5.1,2099713,2453810,2444442,0.247417770185,0.455799148777,0.931195949583,-2.357529648773,-3.091446987778,-3.447126095117,0
IN1024,12/31/14 14:53:4,3972869,26785431,3493293,10707659,5476997,17504571,2523259,53550861,2502917,18976033,3490433,36010351,25.25,99.73,-5.6,2099039,2453256,2444101,0.278719165167,0.416604602471,0.918949604142,-2.160890873279,-3.263552335176,-3.441612620818,0
IN1024,12/31/14 14:53:31,3971261,26783159,3491716,10705820,5471497,17501450,2525973,53541548,2510378,18975714,3493387,36006328,25.27,99.72,-6.0,2098877,2453397,2444536,0.322145765724,0.595702685221,0.957222699407,-2.138753944252,-3.112013132615,-3.461224948134,0
IN1024,12/31/14 14:53:59,3968487,26782042,3494572,10703650,5466346,17501586,2523371,53535273,2508563,18975165,3491748,36003779,25.29,99.71,-5.8,2100790,2455250,2446012,0.257857478527,0.511043390361,0.921489885808,-2.278902645389,-3.153069858035,-3.580389778399,0
IN1024,12/31/14 14:54:27,3970329,26781239,3487282,10704464,5468535,17502624,2525078,53527575,2507748,18972819,3495979,36001719,25.33,99.72,-6.1,2100725,2455194,2445908,0.284784987927,0.495166884055,0.971292407171,-2.218116021129,-3.361156797713,-3.504158014235,0
IN1024,12/31/14 14:54:55,3974472,26779429,3495123,10700185,5474671,17499673,2525453,53523715,2508409,18971882,3490776,35999174,25.34,99.71,-6.7,2095720,2450558,2440820,0.363539524367,0.626015151362,0.969586484342,-1.985767173526,-2.895424627097,-3.366061141298,0
IN1024,12/31/14 14:55:22,3964639,26777807,3487870,10702937,5469840,17500008,2519633,53516117,2504228,18969105,3493283,35996917,25.33,99.72,-6.7,2098841,2452298,2442775,0.233948768215,0.457477793419,0.963307376021,-2.333426590476,-3.340104301814,-3.471674317835,0
IN1024,12/31/14 14:55:50,3963467,26778065,3490158,10700324,5468282,17500191,2522416,53511591,2506601,18970350,3493238,35995951,25.35,99.71,-7.0,2096419,2450450,2440285,0.310450249744,0.568011201327,0.990570540717,-2.237921979392,-3.102496220342,-3.437883434960,0
IN1024,12/31/14 14:56:18,3974657,26777123,3492171,10698069,5476505,17498525,2524052,53507669,2503290,18968958,3488208,35992943,25.33,99.71,-6.7,2099319,2451967,2442752,0.292638509294,0.424856109096,0.903490250175,-2.110468722674,-3.252486098898,-3.448078888513,0
IN1024,12/31/14 14:56:45,3964939,26774375,3490217,10699637,5469177,17500440,2523708,53506458,2502478,18969964,3491914,35994607,25.38,99.70,-6.9,2100438,2453523,2444098,0.272336842228,0.381443948035,0.935175420032,-2.310241673779,-3.374749191127,-3.523040294904,0
IN1024,12/31/14 14:57:13,3964236,26776555,3490238,10699078,5465119,17502082,2523291,53504362,2503816,18967425,3489981,35992862,25.36,99.70,-7.4,2096731,2451019,2441174,0.320175221020,0.498954932586,0.954335223666,-2.217098905688,-3.168526963979,-3.520506032078,0
IN1024,12/31/14 14:57:41,3959287,26775629,3493761,10699832,5466009,17502375,2527868,53505279,2505324,18967492,3489450,35994803,25.39,99.71,-7.3,2099806,2453970,2444472,0.342211210358,0.463861259319,0.913832631356,-2.327760486925,-3.182556700968,-3.582043994583,0
IN1024,12/31/14 14:58:8,3970604,26775005,3490978,10698088,5473438,17501416,2523435,53500863,2506585,18968366,3493133,35994580,25.38,99.71,-7.3,2099317,2452683,2443673,0.284960661098,0.503475774523,0.959852958901,-2.183526924673,-3.201180257273,-3.435946858598,0
IN1024,12/31/14 14:58:36,3967505,26774570,3490298,10698712,5466544,17503800,2520393,53498763,2505564,18968422,3490627,35991705,25.37,99.71,-7.3,2097388,2450812,2441539,0.268829692832,0.523653692699,0.954142278688,-2.221508452787,-3.159144283803,-3.517153295094,0
IN1024,12/31/14 14:59:4,3963598,26773547,3484295,10698814,5469579,17504093,2521988,53497222,2506045,18969305,3491682,35992356,25.40,99.71,-7.5,2097974,2451910,2442808,0.284098413762,0.521848745089,0.960484525713,-2.280304429899,-3.328286698289,-3.476300138383,0
IN1024,12/31/14 14:59:31,3964130,26774044,3487236,10697838,5461568,17502839,2525119,53495256,2502455,18967536,3489980,35991261,25.39,99.71,-7.9,2097268,2450746,2441060,0.340221482769,0.454723775023,0.949417209594,-2.205020840020,-3.300721281422,-3.580387334487,0
IN1024,12/31/14 14:59:59,3968269,26770790,3492778,10698588,5468755,17505482,2523191,53494171,2501364,18967996,3481915,35992631,25.41,99.69,-8.1,2098481,2451498,2442271,0.295287757368,0.402600499722,0.847477737044,-2.193867932105,-3.238462660774,-3.608783101796,0
IN1024,12/31/14 15:0:27,3974334,26773557,3489509,10698181,5476225,17507682,2524051,53495603,2506102,18967108,3489033,35992573,25.41,99.71,-7.8,2096262,2449827,2440204,0.339319964515,0.563472379177,0.949639456438,-2.014071187474,-3.111562043902,-3.395272208256,0
IN1024,12/31/14 15:0:54,3962547,26767662,3483125,10696028,5466270,17505048,2524424,53492567,2502193,18967562,3484613,35991885,25.44,99.70,-7.9,2097259,2450536,2440640,0.331126535753,0.449867481174,0.891171939878,-2.232355280634,-3.404417242003,-3.582726980757,0
IN1024,12/31/14 15:1:22,3965616,26769628,3497647,10697691,5464566,17508026,2523047,53491302,2505981,18968320,3482059,35992975,25.41,99.71,-7.9,2095597,2450463,2440519,0.334825971567,0.575429484684,0.878316788728,-2.150778289779,-2.864869485326,-3.607150119884,0
