Serial Number: SS4024
Firmware: 2.3
Start Date/Time: 5/3/2015 15:40:4
TrayID: 3
Tube: 1 of 7
SN,DATE,TIME,FLOW_RAW,FLOW_LPM,TEMP_RAW,TEMP_C,PRESSURE_RAW,PRESSURE_KPA,ADC1_RAW,ADC1_UNIT,ADC2_RAW,ADC2_UNIT,ADC3_RAW,ADC3_UNIT,ADC4_RAW,ADC4_UNIT,STATUS
SS4024,5/3/2015,15:40:8,616.688,-0.015,1311.816,32.857,2855.284,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:40:23,616.083,-0.018,1311.743,32.852,2854.278,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:40:38,615.117,-0.022,1311.993,32.870,2854.683,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:40:53,615.792,-0.019,1312.174,32.883,2854.951,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:41:8,615.618,-0.019,1312.493,32.905,2854.889,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:41:23,615.441,-0.020,1312.814,32.928,2854.972,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:41:38,615.607,-0.020,1312.972,32.940,2854.841,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:41:53,615.717,-0.019,1313.234,32.959,2854.993,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:42:8,615.493,-0.020,1313.319,32.965,2854.965,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:42:24,615.366,-0.021,1313.510,32.978,2854.883,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:42:38,615.507,-0.020,1313.819,33.000,2854.868,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:42:54,615.462,-0.020,1313.862,33.004,2854.897,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:43:9,615.437,-0.020,1314.167,33.025,2855.035,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:43:24,615.503,-0.020,1314.262,33.032,2855.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:43:39,615.493,-0.020,1314.431,33.044,2854.931,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:43:54,615.572,-0.020,1314.641,33.059,2854.862,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:44:9,615.549,-0.020,1314.653,33.060,2854.979,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:44:24,615.221,-0.021,1314.821,33.072,2854.931,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:44:39,615.392,-0.020,1315.000,33.085,2854.867,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:44:54,615.583,-0.020,1315.083,33.091,2854.889,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:45:9,615.583,-0.020,1315.056,33.089,2854.951,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:45:24,615.386,-0.020,1315.248,33.103,2854.986,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:45:39,615.389,-0.020,1315.361,33.111,2854.896,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:45:54,615.441,-0.020,1315.414,33.115,2854.938,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:46:9,615.497,-0.020,1315.531,33.123,2854.897,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:46:24,615.455,-0.020,1315.662,33.132,2854.834,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:46:40,615.517,-0.020,1315.779,33.141,2854.979,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:46:54,615.528,-0.020,1315.910,33.150,2854.903,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:47:10,615.807,-0.019,1315.993,33.156,2854.876,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
SS4024,5/3/2015,15:47:25,616.028,-0.018,1316.118,33.165,2854.903,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AUTO:STARTWAIT
